বালাসরস্বতী	Balasaraswati
আহমেদ বেন বেল্লা	Ahmed Ben Bella
দেবীপ্রসাদ চট্টোপাধ্যায়	Debiprasad Chattopadhyaya
আন্না মনি	Anna Mani
অমিয়ভূষণ মজুমদার	Amiya Bhushan Majumdar
অ্যান শার্লি	Anne Shirley
অ্যামোস এডওয়ার্ড জোয়েল	Amos E. Joel Jr.
অ্যালেনবি চিল্টন	Allenby Chilton
আজিজুর রহমান মল্লিক	A R Mallick
আনোয়ার সাদাত	Anwar Sadat
আবদুর রহিম	Abdur Rahim
আবদুল হক	Abdul Haque
আবুল কালাম মোহাম্মদ যাকারিয়া	Abul Kalam Mohammed Zakaria
কার্মেন আমায়া	Carmen Amaya
আর্থার কর্ণবার্গ	Arthur Kornberg
শওকত আলী	Shawkat Ali
আলেক্সান্দ্র্‌ সলজেনিৎসিন	Aleksandr Solzhenitsyn
আহমেদ দিদাত	Ahmed Deedat
জ্যাক ইকিন	Jack Ikin
ইগ্যাল এ্যালোন	Yigal Allon
ইনামুল হাসান কান্ধলভী	Inamul Hasan Kandhlawi
ইয়াসুহিরো নাকাসোনে	Yasuhiro Nakasone
এডওয়ার্ড বি লুইস	Edward B. Lewis
এডুইন জি ক্রেবস	Edwin G. Krebs
এর্নেস্তো তেওদরো মোনেতা	Ernesto Teodoro Moneta
ডেনিস কম্পটন	Denis Compton
কাজী আবুল মনসুর	Kazi Abul Monsur
কামাল আমরোহী	Kamal Amrohi
কার্ট ওয়াল্ডহেইম	Kurt Waldheim
আর্ট কার্নি	Art Carney
কেনিচি ফুকুই	Kenichi Fukui
বার্টি ক্লার্ক	Bertie Clarke
খন্দকার আবদুল হামিদ	Khondakar Abdul Hamid
খন্দকার মোশতাক আহমেদ	Khondaker Mostaq Ahmad
গুরু বিপিন সিংহ	Guru Bipin Singh
গোবিন্দাপ্পা ভেঙ্কটাস্বামী	Govindappa Venkataswamy
নিখিলজ্যোতি ঘোষ	Nikhil Ghosh
চারু মজুমদার	Charu Majumdar
চিত্রা জয়ন্ত নায়েক	Chitra Naik
জগন্ময় মিত্র	Jagmohan Sursagar
বেন জনসন	Ben Johnson
সরদার জয়েনউদ্দীন	Sarder Jayenuddin
সিকান্‌দার আবু জাফর	Sikandar Abu Zafar
জামাল আবদেল নাসের	Gamal Abdel Nasser
জায়েদ বিন সুলতান আল নাহিয়ান	Zayed bin Sultan Al Nahyan
জুলিয়ান শুইঙার	Julian Schwinger
রলি জেনকিন্স	Roly Jenkins
জেমস টোবিন	James Tobin
জোয়াও গোলাল্ট	João Goulart
জোহরাবাঈ আম্বালেওয়ালী	Zohrabai Ambalewali
ডেরেক হ্যারল্ড রিচার্ড বার্টন	Derek Barton
দৌলতুন্নেছা খাতুন	Daulatunnessa Khatun
নগুয়েন বিন	Nguyễn Bính
নারায়ণ গঙ্গোপাধ্যায়	Narayan Gangopadhyay
পি. এইচ. নিউবি	P. H. Newby
নিকোলাই চসেস্কু	Nicolae Ceaușescu
